"rank","title","description","runtime","genre","rating","votes","metascore","directors","actors","gross_earning_in_mil_doll","certificate_rating"
73,"The Girl in the Spider's Web","Young computer hacker Lisbeth Salander and journalist Mikael Blomkvist find themselves caught in a web of spies, cybercriminals and corrupt government officials.",115,"Action, Crime, Drama",6.1,32003,43,"Fede Alvarez","Claire Foy",14.84,"R"
74,"The Boat","A solo sailor is locked inside the head of a sailboat which is under steam on autopilot.",100,"Mystery, Thriller",5.4,578,NA,"Winston Azzopardi","Joe Azzopardi",NA,"Unrated"
75,"The Perfection","When troubled musical prodigy Charlotte (Allison Williams) seeks out Elizabeth (Logan Browning), the new star pupil of her former school, the encounter sends both musicians down a sinister path with shocking consequences.",90,"Drama, Horror, Thriller",6.1,23319,60,"Richard Shepard","Allison Williams",NA,"Unrated"
76,"Sorry to Bother You","In an alternate present-day version of Oakland, telemarketer Cassius Green discovers a magical key to professional success, propelling him into a universe of greed.",112,"Comedy, Fantasy, Sci-Fi",7,45613,80,"Boots Riley","LaKeith Stanfield",17.49,"R"
77,"Ant-Man and the Wasp","As Scott Lang balances being both a Super Hero and a father, Hope van Dyne and Dr. Hank Pym present an urgent new mission that finds the Ant-Man fighting alongside The Wasp to uncover secrets from their past.",118,"Action, Adventure, Comedy",7.1,260331,70,"Peyton Reed","Paul Rudd",216.65,"PG-13"
78,"Mile 22","A small team of elite American intelligence officers, part of a top-secret tactical command unit, try to smuggle a mysterious police officer with sensitive information out of Indonesia.",94,"Action, Adventure, Thriller",6.1,52978,38,"Peter Berg","Mark Wahlberg",36.11,"R"
79,"Den of Thieves","A gritty crime saga which follows the lives of an elite unit of the LA County Sheriff's Dept. and the state's most successful bank robbery crew as the outlaws plan a seemingly impossible heist on the Federal Reserve Bank.",140,"Action, Crime, Drama",7,73041,49,"Christian Gudegast","Gerard Butler",44.95,"R"
80,"Upgrade","Set in the near-future, technology controls nearly all aspects of life. But when Grey, a self-identified technophobe, has his world turned upside down, his only hope for revenge is an experimental computer chip implant called Stem.",100,"Action, Sci-Fi, Thriller",7.5,114375,67,"Leigh Whannell","Logan Marshall-Green",11.87,"R"
81,"Incredibles 2","The Incredibles hero family takes on a new mission, which involves a change in family roles: Bob Parr (Mr Incredible) must manage the house while his wife Helen (Elastigirl) goes out to save the world.",118,"Animation, Action, Adventure",7.7,214859,80,"Brad Bird","Craig T. Nelson",608.58,"U/A"
82,"The Nightingale","Set in 1825, Clare, a young Irish convict woman, chases a British officer through the rugged Tasmanian wilderness, bent on revenge for a terrible act of violence he committed against her family. On the way she enlists the services of an Aboriginal tracker named Billy, who is also marked by trauma from his own violence-filled past.",136,"Adventure, Drama, Thriller",7.2,1543,76,"Jennifer Kent","Aisling Franciosi",0.39,"R"
83,"Truth or Dare","A harmless game of Truth or Dare among friends turns deadly when someone -- or something -- begins to punish those who tell a lie or refuse the dare.",100,"Horror, Thriller",5.1,35980,35,"Jeff Wadlow","Lucy Hale",40.72,"A"
84,"The Kissing Booth","A high school student is forced to confront her secret crush at a kissing booth.",105,"Comedy, Romance",6.1,47744,NA,"Vince Marcello","Joey King",NA,"Unrated"
85,"Fifty Shades Freed","Anastasia and Christian get married, but Jack Hyde continues to threaten their relationship.",105,"Drama, Romance, Thriller",4.5,45861,31,"James Foley","Dakota Johnson",100.41,"R"
86,"Mid90s","Follows Stevie, a thirteen-year-old in 1990s-era Los Angeles who spends his summer navigating between his troubled home life and a group of new friends that he meets at a Motor Avenue skate shop.",85,"Comedy, Drama",7.4,29786,66,"Jonah Hill","Sunny Suljic",7.36,"R"
87,"The Equalizer 2","Robert McCall serves an unflinching justice for the exploited and oppressed, but how far will he go when that is someone he loves?",121,"Action, Crime, Thriller",6.7,105795,50,"Antoine Fuqua","Denzel Washington",102.08,"U/A"
88,"White Boy Rick","The story of teenager Richard Wershe Jr., who became an undercover informant for the FBI during the 1980s and was ultimately arrested for drug-trafficking and sentenced to life in prison.",111,"Crime, Drama",6.4,18515,59,"Yann Demange","Matthew McConaughey",24.01,"R"
89,"Boy Erased","The son of a Baptist preacher is forced to participate in a church-supported gay conversion program after being forcibly outed to his parents.",115,"Biography, Drama",7,22037,69,"Joel Edgerton","Lucas Hedges",6.79,"Unrated"
90,"Rust Creek","An overachieving college student gets lost on her way to a job interview. A wrong turn leaves her stranded deep in the Kentucky forest.",108,"Drama, Horror, Thriller",5.8,3440,59,"Jen McGowan","Hermione Corfield",NA,"R"
91,"A Million Little Pieces","A young aspiring writer in the bottom of his addictions is interned in a facility center to face his traumatic past.",113,"Drama",6.6,257,50,"Sam Taylor-Johnson","Aaron Taylor-Johnson",NA,"R"
92,"Trautmann","The Keeper tells the extraordinary love story between a young English woman and a German PoW, who together overcome prejudice, public hostility, and personal tragedy. While visiting a PoW ...                See full summary »",120,"Biography, Drama, Romance",7,761,NA,"See full summary","David Kross",NA,"Unrated"
93,"Driven","Intense thriller where politics, big business and narcotics collide.",108,"Biography, Drama, Thriller",6.2,1502,58,"Nick Hamm","Erin Moriarty",NA,"R"
94,"American Woman","A woman raises her young grandson after her daughter goes missing.",111,"Drama",6.5,612,67,"Jake Scott","Christina Hendricks",0.24,"R"
95,"The Old Man & the Gun","Based on the true story of Forrest Tucker and his audacious escape from San Quentin at the age of 70 to an unprecedented string of heists that confounded authorities and enchanted the public.",93,"Biography, Comedy, Crime",6.7,30599,80,"David Lowery","Robert Redford",11.28,"PG-13"
96,"Hell Fest","A masked serial killer turns a horror-themed amusement park into his own personal playground, terrorizing a group of friends while the rest of the patrons believe that it is all part of the show.",89,"Horror",5.5,9786,26,"Gregory Plotkin","Cynthea Mercado",11.11,"R"
97,"Roma","A year in the life of a middle-class family's maid in Mexico City in the early 1970s.",135,"Drama",7.8,113283,96,"Alfonso Cuarón","Yalitza Aparicio",NA,"R"
98,"Searching","After his 16-year-old daughter goes missing, a desperate father breaks into her laptop to look for clues to find her.",102,"Drama, Mystery, Thriller",7.7,109428,71,"Aneesh Chaganty","John Cho",26.02,"U/A"
99,"Second Act","A big box store worker reinvents her life and her life-story and shows Madison Avenue what street smarts can do.",103,"Comedy, Drama, Romance",5.8,15725,46,"Peter Segal","Jennifer Lopez",39.28,"A"
100,"To All the Boys I've Loved Before","A teenage girl's secret love letters are exposed and wreak havoc on her love life.",99,"Drama, Romance",7.2,67436,64,"Susan Johnson","Lana Condor",NA,"Unrated"
